iter	Logloss
140	0.2583865599
141	0.2580713961
142	0.2578396096
143	0.2577999544
144	0.2575392421
145	0.2573225903
146	0.2571817368
147	0.2570361665
148	0.2570190956
149	0.2568835946
150	0.2568466536
151	0.2555169363
152	0.255430244
153	0.2554083092
154	0.2553559417
155	0.2551810584
156	0.2551206867
157	0.25507411
158	0.2549308454
159	0.2548499594
160	0.2547861231
161	0.2547593061
162	0.2546038243
163	0.2545082681
164	0.2544710536
165	0.2543177072
166	0.2542746864
167	0.2542583767
168	0.2541340559
169	0.2529142037
170	0.2528806686
171	0.2528319269
172	0.2528066789
173	0.2527885931
174	0.2526754517
175	0.2526325834
176	0.2525892261
177	0.2525511847
178	0.252514788
179	0.2524087441
180	0.2523238042
181	0.2522326761
182	0.2522028473
183	0.252129461
184	0.2520933029
185	0.2520541878
186	0.2519826231
187	0.2519052072
188	0.2518256641
189	0.2517266978
190	0.2517034667
191	0.2516299495
192	0.2516087107
193	0.2515726607
194	0.2514598426
195	0.2514375257
196	0.2514034344
197	0.2513315049
198	0.2512966854
199	0.251281071
200	0.251225543
201	0.251156872
202	0.2511355105
203	0.2510584787
204	0.2509764093
205	0.2508920862
206	0.2508795912
207	0.250848328
208	0.2506906802
209	0.2506310423
210	0.2505600337
211	0.250489462
212	0.2504206502
213	0.2503986476
214	0.2503668108
215	0.2502281843
216	0.2501880692
217	0.2501662776
218	0.2501433962
219	0.250099818
220	0.2500881317
221	0.2500559362
222	0.2500322801
223	0.2500044414
224	0.2499489329
225	0.2499306844
226	0.2498342146
227	0.2498069011
228	0.2497838932
229	0.2497642962
230	0.2497404408
231	0.2496918563
232	0.2496789316
233	0.249569669
234	0.2495483253
235	0.2495244736
236	0.2494852096
237	0.2494756817
238	0.2494300717
239	0.2494093612
240	0.2493978792
241	0.2493329956
242	0.2493209525
243	0.2492755661
244	0.2492437147
245	0.2492085842
246	0.2490391365
247	0.2490181258
248	0.2489711817
249	0.2489322274
250	0.2489021247
251	0.2488641697
252	0.2488288586
253	0.2488158844
254	0.248667568
255	0.248639959
256	0.2486108557
257	0.2485897799
258	0.2485703143
259	0.2485333479
260	0.2482542674
261	0.2482377322
262	0.2479771791
263	0.2479532957
264	0.2479132639
265	0.2478910211
266	0.2478716189
267	0.2478627542
268	0.2478423303
269	0.2478180291
270	0.2477741642
271	0.2477547345
272	0.2477248644
273	0.2476968123
274	0.2476781045
275	0.2475742088
276	0.2474991307
277	0.2473861612
278	0.2473582849
279	0.2472900521
280	0.247244923
281	0.2472368232
282	0.2471991806
283	0.2471377348
284	0.2471321106
285	0.2471134327
286	0.2470971462
287	0.2470866257
288	0.2470597804
289	0.2470426444
290	0.2470037995
291	0.2469842405
292	0.2469656423
293	0.2469529879
294	0.2465943821
295	0.2465608999
296	0.2463348622
297	0.2462795768
298	0.2462554541
299	0.24621944
300	0.246200657
301	0.2461709483
302	0.2461535646
303	0.2459432766
304	0.2459290979
305	0.245902179
306	0.2455177837
307	0.2454879812
308	0.2454753789
309	0.2454561665
310	0.2453916462
311	0.2453718272
312	0.2453501741
313	0.2453266231
314	0.2453120336
315	0.2447995424
316	0.2447840183
317	0.2447109776
318	0.2446755441
319	0.2446590592
320	0.24464656
321	0.2446340995
322	0.244610233
323	0.2445911919
324	0.2445718046
325	0.2445594851
326	0.2445081478
327	0.2444817429
328	0.2444749865
329	0.2444444663
330	0.2444308108
331	0.2444062223
332	0.2443985631
333	0.2443839006
334	0.2443589694
335	0.2435731261
336	0.2435591003
337	0.2435483051
338	0.243535083
339	0.2435211973
340	0.24350281
341	0.2434861194
342	0.2434754241
343	0.2434148159
344	0.2433994253
345	0.2429982541
346	0.2426032373
347	0.2425886405
348	0.2425808435
349	0.2425627948
350	0.2425416963
351	0.2425348622
352	0.2425188086
353	0.2425105471
354	0.242460036
355	0.242443427
356	0.2424152483
357	0.2413226618
358	0.241306388
359	0.2412962591
360	0.2412860178
361	0.2412590177
362	0.2412434005
363	0.2412252777
364	0.2411985515
365	0.2411638407
366	0.2411522538
367	0.2411274559
368	0.2411150324
369	0.2410942061
370	0.2410462399
371	0.2410355004
372	0.2410182126
373	0.2410059684
374	0.2409913697
375	0.2409738098
376	0.2409629459
377	0.2409498742
378	0.2406152723
379	0.2403654083
380	0.2403557935
381	0.2403418093
382	0.2403287373
383	0.240319229
384	0.2403122999
385	0.2402992622
386	0.2402948773
387	0.2402755259
388	0.2402636635
389	0.2402490398
390	0.2402338504
391	0.2401149648
392	0.2400485992
393	0.2392971086
394	0.2392888066
395	0.2392767664
396	0.2392634578
397	0.2392272679
398	0.2392039251
399	0.239139148
400	0.2391202008
401	0.2391124513
402	0.2390998872
403	0.239081382
404	0.2390725727
405	0.2390657474
406	0.2390580344
407	0.2390368044
408	0.2390002013
409	0.238979973
410	0.2389609113
411	0.238952301
412	0.2384555914
413	0.238439283
414	0.2384299788
415	0.2384199114
416	0.238398125
417	0.2383868146
418	0.2376812231
419	0.2376705601
420	0.2376508424
421	0.2376350106
422	0.2376176986
423	0.2374519171
424	0.2374428993
425	0.2374330336
426	0.2374274456
427	0.2374154124
428	0.2373992549
429	0.2373934289
430	0.237386048
431	0.237375443
432	0.2373665565
433	0.2373600457
434	0.2373488858
435	0.237317325
436	0.2373084542
437	0.2372953059
438	0.2372875946
439	0.2372805487
440	0.2372593385
441	0.2372411438
442	0.2372188747
443	0.2371933536
444	0.2371830979
445	0.2371700246
446	0.2370712852
447	0.2370623579
448	0.2370491179
449	0.2370383719
450	0.2370021333
451	0.2369882353
452	0.2369765147
453	0.2369623112
454	0.2369157338
455	0.2368981589
456	0.2368896462
457	0.2368831592
458	0.2368728765
459	0.2368573309
460	0.2368438382
461	0.2368347951
462	0.2368254866
463	0.236809268
464	0.2367992938
465	0.236792317
466	0.2367814574
467	0.2367667422
468	0.2367595376
469	0.2367500784
470	0.2367384804
471	0.2367163055
472	0.2367034887
473	0.236679092
474	0.2366738444
475	0.2366640688
476	0.2366562402
477	0.236608579
478	0.2366025119
479	0.236595114
480	0.2358137436
481	0.2358038248
482	0.235794556
483	0.2357856379
484	0.2357775634
485	0.2357668297
486	0.2357421641
487	0.2357165305
488	0.2357063541
489	0.2356812004
490	0.2345168704
491	0.2345096513
492	0.2345019985
493	0.2344919568
494	0.2344809902
495	0.2344688826
496	0.2344179286
497	0.2344118819
498	0.2342330292
499	0.2342198557
500	0.234025465
501	0.2340130039
502	0.2340045501
503	0.2339935277
504	0.233978499
505	0.2336138084
506	0.23360598
507	0.2335937442
508	0.2335771425
509	0.2335488893
510	0.2335396468
511	0.233526622
512	0.2335049987
513	0.2334962751
514	0.2334810846
515	0.2334610727
516	0.2334467156
517	0.2334391661
518	0.2334303733
519	0.2334028376
520	0.2333325369
521	0.2333250705
522	0.2333158628
523	0.2333099187
524	0.2332993417
525	0.2332885026
526	0.2332825228
527	0.2332672544
528	0.2332550127
529	0.2332433896
530	0.2332288651
531	0.2332223948
532	0.23321401
533	0.2332044112
534	0.2331989339
535	0.2327542695
536	0.2327422282
537	0.2327318198
538	0.2327222796
539	0.2326840832
540	0.2326640499
541	0.2326519572
542	0.2326334191
543	0.2326239309
544	0.2326151601
545	0.2321989442
546	0.2321921598
547	0.23218267
548	0.2321749417
549	0.2321653304
550	0.2321604064
551	0.2321538307
552	0.2321465771
553	0.2321359581
554	0.2321266058
555	0.2321067489
556	0.2320959068
557	0.2320887024
558	0.232078256
559	0.2320678053
560	0.232064329
561	0.2320525078
562	0.2320363902
563	0.232023856
564	0.2320153824
565	0.2320053729
566	0.2319815712
567	0.2319742175
568	0.231961586
569	0.2316027899
570	0.2315629596
571	0.2315373083
572	0.2315270272
573	0.2315189165
574	0.2315026496
575	0.2314824551
576	0.2314764529
577	0.2314654328
578	0.2314552499
579	0.2314348213
580	0.2314264294
581	0.2313867637
582	0.231370774
583	0.2313633182
584	0.2313555224
585	0.2313487721
586	0.231343371
587	0.2313284851
588	0.2313216992
589	0.2313056483
590	0.2312874436
591	0.2312809965
592	0.2312761517
593	0.2312702871
594	0.231262802
595	0.2312480863
596	0.2312363176
597	0.2312200393
598	0.2312098561
599	0.2311959859
600	0.2311897033
601	0.2311787288
602	0.2311668659
603	0.2311572764
604	0.2311416472
605	0.2311271383
606	0.2311158062
607	0.2310903874
608	0.2310806718
609	0.2310726081
610	0.2310574947
611	0.2310398272
612	0.2310231871
613	0.2310011039
614	0.2309959825
615	0.2309891822
616	0.2307137278
617	0.2307064983
618	0.2306948776
619	0.230686848
620	0.2306774609
621	0.2306632538
622	0.230650362
623	0.23064213
624	0.2306307532
625	0.2305613887
626	0.2305504462
627	0.2305329132
628	0.2305248915
629	0.2297808705
630	0.2296880018
631	0.2296788308
632	0.2296690836
633	0.2296532741
634	0.2296418161
635	0.2290932995
636	0.2290834711
637	0.2290755067
638	0.2290664327
639	0.22904657
640	0.229031695
641	0.2290205757
642	0.228426006
643	0.2284179749
644	0.228386468
645	0.228376234
646	0.2278403644
647	0.2278321273
648	0.227801359
649	0.227798453
650	0.2277917602
651	0.2277758518
652	0.2277649176
653	0.2277545536
654	0.2277451872
655	0.2277369773
656	0.227732539
657	0.2276941664
658	0.2276850035
659	0.2276730078
660	0.2276648201
661	0.2276558803
662	0.227647752
663	0.2276381783
664	0.2276276484
665	0.2276208115
666	0.2276117368
667	0.2276091819
668	0.2276010935
669	0.2275928397
670	0.2275698998
671	0.2266878688
672	0.2266760052
673	0.2266637741
674	0.2266363944
675	0.2266275477
676	0.2266192936
677	0.2266134783
678	0.2266090595
679	0.2266045861
680	0.2265963877
681	0.2265886648
682	0.2265839625
683	0.2265714798
684	0.2265628846
685	0.2265267862
686	0.2265145748
687	0.2265008936
688	0.2259556549
689	0.225944928
690	0.2259342891
691	0.2259273807
692	0.2255665493
693	0.2255594977
694	0.2255502699
695	0.2255395395
696	0.2255319942
697	0.2255244396
698	0.2255174524
